ジャンル,名称,郵便番号,住所,開館時間,休館日,緯度,経度
寄り道パーキング,湖東,922-0307,加賀市干拓町238,,,36.346034,136.394105
寄り道パーキング,さえぐさの丘,922-0315,加賀市清水町70,,,36.31123,136.38706
寄り道パーキング,荒俣峡,923-0185,小松市赤瀬町甲之部67-1,,,36.305654,136.486382
寄り道パーキング,布橋十二ヶ滝,923-0164,小松市布橋町へ６２番,,,36.345276,136.508397
寄り道パーキング,和気の岩,923-1224,能美市和気町オ之部14-5,,,36.428615,136.533244
寄り道パーキング,川北大橋,923-1253,能美郡川北町三反田東146,,,36.465262,136.577236
寄り道パーキング,黄門橋,920-2321,白山市吉野夏之部108-2,,,36.361708,136.61474
寄り道パーキング,不老橋,920-2321,白山市吉野甲82-1,,,36.344407,136.631188
寄り道パーキング,木滑,920-2326,白山市木滑レ,,,36.31382,136.647743
寄り道パーキング,百万貫の岩,920-2501,白山市白峰地内,,,36.131902,136.660401
寄り道パーキング,小川,924-0067,白山市小川町1146番地,,,36.524812,136.5236743
寄り道パーキング,美川大橋,929-0215,白山市美川南町乙,,,36.483863,136.478666
寄り道パーキング,宝達山,929-1314,羽咋郡宝達志水町紺屋町外六字入会壱四号北谷日向１番89地先,,,36.778952,136.806843
寄り道パーキング,神子原,925-0608,羽咋市神子原町は１８９－２,,,36.883624,136.861829
寄り道パーキング,巌門入口,925-0345,羽咋郡志賀町富来牛下ル3－6,,,37.0949,136.727922
寄り道パーキング,ながさき,926-0204,七尾市能登島長崎町弐八４５－１－２,,,37.14633,137.04196
寄り道パーキング,鹿波,927-0223,鳳珠郡穴水町字鹿波４２字９８番１,,,37.189972,136.999769
寄り道パーキング,金蔵,928-0236,輪島市町野町金蔵ワ部７２番１,物販施設　9：00～12：00,11月～3月,37.401068,137.070381
寄り道パーキング,男女滝,928-0056,輪島市西二又町カ部１８番８,,,37.350635,136.792378
寄り道パーキング,ゾウゾウ鼻,928-0065,輪島市鵜入町子の部２の１番地,,,37.398839,136.843858
寄り道パーキング,上大沢,928-0055,輪島市上大沢四字甲,,,37.368755,136.783412
寄り道パーキング,名舟,928-0254,輪島市名舟町ト部１４２,,,37.432443,137.020786
寄り道パーキング,洲衛,929-2372,輪島市三井町洲衛は９番１,物販施設 5月～11月日曜日8:00～12:00,12月～4月,37.286488,136.929052
寄り道パーキング,七浦,927-2286,輪島市門前町五十洲参２９番１２,物販施設　10:00～16:00(定休日なし),12月～2月,37.342816,136.7491
寄り道パーキング,春蘭の里,927-0323,鳳珠郡能登町字鮭尾六字５４番１,8：00～17：00,年末年始,37.303459,137.006405
寄り道パーキング,千畳敷,927-0564,鳳珠郡能登町小浦地内,,,37.298664,137.194324
寄り道パーキング,木ノ浦,927-1446,珠洲市折戸町ロ16-1,,,37.529044,137.2717804
寄り道パーキング,寺家,927-1451,珠洲市三崎町寺家154番の4,物販施設4月～12月土日祝日のみ9：00～15：00,1月から3月,37.494305,137.343385
寄り道パーキング,大谷,927-1304,珠洲市馬緤町へ字1-11,,,37.49883,137.184082
寄り道パーキング,雲津,927-1463,珠洲市三崎町雲津子部66番1,,,37.443036,137.347115
寄り道パーキング,垂水の滝,927-1326,珠洲市真浦町カ部13番地,,,37.466271,137.086383
寄り道パーキング,若山の庄,927-1238,珠洲市若山町延武い部40-1,物販施設4月～10月 9：00～17：00 11月～3月 10：00～15：00 食堂 11：00～14：00,水曜日、年末年始(12月29日～1月5日),37.460687,137.221723
